priority,id,name,state,item,why_flagged,source_to_check
P1,020026,ALASKA NATIVE MEDICAL CENTER,AK,Certification status,"No certification on record; 163 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P1,020008,BARTLETT REGIONAL HOSPITAL,AK,Joint Commission stroke certification check (Bartlett Regional),"Wikipedia states the hospital is Joint Commission-accredited ""for ... acute stroke care""; no hospital or certifier source found in the 2026-09-12 search pass. Single source — check for an ASRH/PSC certification. Retained none-on-record.",Joint Commission Quality Check (qualitycheck.org) + hospital website
P1,020012,FAIRBANKS MEMORIAL HOSPITAL,AK,Certification status,"No certification on record; 213 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P1,131308,CASCADE MEDICAL CENTER,ID,Street-level geocode,Coordinates were 23.4 mi from Cascade; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,ID,24/7 EVT capability,Flagged EVT-capable without CSC/TSC certification — drives every nearest-EVT calculation in the region,Hospital neurointerventional service page; state registry; AHA GWTG Target: Stroke advanced-therapy list
P1,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,ID,"Idaho TSE ""Level II+"" label check (EIRMC)",Own site claims II+ with active 2025 EVT metrics (still live 2026-09-12); Wikipedia shows plain Level II. Confirm the II+ tier against the registry.,Idaho TSE Facility Designations registry
P1,130074,IDAHO FALLS COMMUNITY HOSPITAL,ID,Idaho TSE Level III -> II upgrade,"Registry shows Level II; hospital site (May 2021 announcement, still live 2026-09-12) says Level III; no independent 2024-2026 source found. Retained Level III.",Idaho TSE Facility Designations registry + hospital site
P1,130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,ID,24/7 EVT capability re-check (Nampa),"hasELVO withdrawn 2026-08-15: designation is plain TSE Level II (two-source, Apr 2023). The hospital site still lists thrombectomy (2026-09-12) but no independent source does. Redesignation due ~2026.",Idaho TSE Facility Designations registry + hospital neurointerventional service page
P1,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,ID,State-derived CSC/TSC tier,Displayed as CSC on the strength of Idaho TSE Level I alone,Joint Commission Quality Check / DNV directory; state registry
P1,270012,BENEFIS HEALTH SYSTEM,MT,Certification status,"No certification on record; 488 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P1,270023,COMMUNITY MEDICAL CENTER,MT,Joint Commission directory check (Community Medical Center Missoula),"Promoted from census to assessed 2026-09-12 on NBC Montana coverage + hospital news release (June 2026, JC Advanced Primary Stroke Center). Confirm the listing.",Joint Commission Quality Check (qualitycheck.org) + one independent source
P1,270014,PROVIDENCE ST PATRICK HOSPITAL,MT,24/7 EVT capability,Flagged EVT-capable without CSC/TSC certification — drives every nearest-EVT calculation in the region,Hospital neurointerventional service page; state registry; AHA GWTG Target: Stroke advanced-therapy list
P1,270003,ST PETER'S HEALTH,MT,Certification status,"No certification on record; 125 beds, Acute Care — large uncertified referral centres are the most likely stale records",Joint Commission Quality Check + DNV directory + hospital website
P1,501319,ARBOR HEALTH MORTON HOSPITAL,WA,Street-level geocode,Coordinates were 39.9 mi from Morton; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,501311,EAST ADAMS RURAL HOSPITAL,WA,ECS list removal / Rural Emergency Hospital conversion,REH conversion confirmed by regional press (approval expected summer 2026); hospital site still claims WA Level III Stroke as of 2026-09-12. Absence from the DOH list remains single-sourced for removal. Retained ASR.,WA DOH ECS list (DOH 345-299) + CMS provider enrollment (REH conversion)
P1,501301,GARFIELD COUNTY PUBLIC HOSPITAL DISTRICT #1,WA,Street-level geocode,Coordinates were 264.4 mi from Pomeroy; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,501336,MASON GENERAL HOSPITAL & FAMILY OF CLINICS,WA,Street-level geocode,Coordinates were 38.5 mi from Shelton; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,WA-MADIGAN-AMC,Madigan AMC (FT Lewis),WA,WA ECS stroke level confirmation,"Tier corrected TSC->PSC and hasELVO withdrawn 2026-08-15 on internal evidence; the ECS Level II designation itself still needs confirmation against the current DOH list (2026-09-12 search found only a 2023 third-party ""no JC stroke certification"" listing).",WA DOH ECS list (DOH 345-299)
P1,501310,NEWPORT COMMUNITY HOSPITAL,WA,Street-level geocode,Coordinates were 44.8 mi from Newport; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,501314,OCEAN BEACH HOSPITAL,WA,Street-level geocode,Coordinates were 239.7 mi from Ilwaco; now at the city centroid (approximate),"Geocode the street address (Nominatim, or the US Census geocoder)"
P1,500033,SAMARITAN HOSPITAL,WA,WA Stroke Level II designation,"Registry (WA DOH ECS, May 2026 rev.) shows a designation; the 2026-08-15 and 2026-09-12 search passes found no second, non-DOH source (hospital site silent). Retained no-certification.",WA DOH ECS list (DOH 345-299) + hospital site or regional press
P1,500108,VIRGINIA MASON FRANCISCAN HEALTH - ST. JOSEPH MEDICAL CENTER,WA,CSC certifying body and WA ECS level (St. Joseph Tacoma),"Tier CSC with 24/7 EVT is corroborated by VMFH's stroke-center page, which names no accreditor; the Joint Commission attribution is carried forward from prior editions. Confirm the certifying body and the current ECS level.",Joint Commission Quality Check + DNV directory; WA DOH ECS list (DOH 345-299)
P1,530012,BANNER WYOMING MEDICAL CENTER,WY,24/7 EVT capability,Flagged EVT-capable without CSC/TSC certification — drives every nearest-EVT calculation in the region,Hospital neurointerventional service page; state registry; AHA GWTG Target: Stroke advanced-therapy list
P1,530012,BANNER WYOMING MEDICAL CENTER,WY,JC certification recertification check (Banner Wyoming),"EVT independently confirmed (2024 press); JC Advanced PSC last publicly confirmed March 2022, described as retained in July 2025 coverage — a formal recertification date is still unconfirmed.",Joint Commission Quality Check (qualitycheck.org)
